2025-03-27 01:26:30.902 [main] INFO  c.e.notifybot.NotifyBotApplication - Starting NotifyBotApplication using Java 17.0.14 with PID 7747 (/home/artur/IdeaProjects/NotifyBot/build/classes/java/main started by artur in /home/artur/IdeaProjects/NotifyBot)
2025-03-27 01:26:30.906 [main] DEBUG c.e.notifybot.NotifyBotApplication - Running with Spring Boot v3.4.3, Spring v6.2.3
2025-03-27 01:26:30.907 [main] INFO  c.e.notifybot.NotifyBotApplication - No active profile set, falling back to 1 default profile: "default"
2025-03-27 01:26:31.903 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-03-27 01:26:31.914 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-03-27 01:26:31.915 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.36]
2025-03-27 01:26:31.958 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-03-27 01:26:31.958 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1000 ms
2025-03-27 01:26:32.738 [main] INFO  com.example.notifybot.NotifyBot - Bot initialized successfully. Bot info: User(id=7738261557, firstName=Macan_bot, isBot=true, lastName=null, userName=MacanSwag_bot, languageCode=null, canJoinGroups=true, canReadAllGroupMessages=false, supportInlineQueries=false, isPremium=null, addedToAttachmentMenu=null)
2025-03-27 01:26:33.116 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-03-27 01:26:33.128 [main] INFO  c.e.notifybot.NotifyBotApplication - Started NotifyBotApplication in 2.783 seconds (process running for 3.411)
2025-03-27 01:26:33.142 [main] INFO  com.example.notifybot.NotifyBot - Bot successfully registered with Telegram
2025-03-27 01:26:39.494 [@MacanSwag_bot Telegram Executor] INFO  com.example.notifybot.NotifyBot - Sent message to chat 1085356328: Пока!
2025-03-27 01:27:10.747 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-03-27 01:27:10.753 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
